y,x,class
2.3919243509194025e-46,2.3919243509195048e-46,no_correction
5.3964318912914106e-49,5.396431891290718e-49,no_correction
9.014189292812106e-43,9.01418929281275e-43,no_correction
5.389437165977949e-50,5.38943716597841e-50,no_correction
2.2502648154073732e-48,2.2502648154075983e-48,no_correction
9.736155845921762e-45,9.736155845921762e-45,no_correction
6.6226742827224214e-49,6.622674282721192e-49,no_correction
1.868207772217665e-42,1.8682077722178524e-42,no_correction
7.28965717126666e-42,7.28965717126593e-42,no_correction
1.3584503487776524e-47,1.3584503487776524e-47,no_correction
5.1885184701127075e-53,5.188518470112485e-53,no_correction
2.6240811937337186e-38,2.6240811937337186e-38,no_correction
1.8577905387881898e-47,1.857790538788031e-47,no_correction
2.9352753961773033e-37,2.935275396176925e-37,no_correction
9.103546538557002e-41,9.103546538557651e-41,no_correction
1.563794289918014e-42,1.563794289918014e-42,no_correction
3.4405216807793e-44,3.4405216807794474e-44,no_correction
7.992219342483518e-46,7.992219342483288e-46,no_correction
2.539276936659846e-44,2.539276936660063e-44,no_correction
1.2076518655917086e-39,1.2076518655915013e-39,no_correction
2.501802030685253e-44,2.50180203068536e-44,no_correction
8.15251794975029e-42,8.152517949750872e-42,no_correction
1.1265724291177715e-41,1.126572429117659e-41,no_correction
4.4122709663925384e-43,4.412270966392916e-43,no_correction
2.989468038847241e-42,2.98946803884724e-42,no_correction
1.1100521389650961e-37,1.1100521389650961e-37,no_correction
1.3769354456659358e-47,1.3769354456658767e-47,no_correction
2.4682324795016846e-39,2.4682324795017554e-39,no_correction
4.027162709512711e-37,4.027162709512481e-37,no_correction
2.572668433181741e-44,2.572668433181851e-44,no_correction
1.6240158504342628e-44,1.6240158504339848e-44,no_correction
1.7491544627256922e-43,1.7491544627253917e-43,no_correction
1.323990724922595e-36,1.3239907249225573e-36,no_correction
4.946466346891128e-47,4.94646634689134e-47,no_correction
1.0073708750110002e-38,1.0073708750111009e-38,no_correction
1.5561248046366362e-43,1.5561248046366362e-43,no_correction
4.444004642693529e-43,4.44400464269372e-43,no_correction
9.20186498466671e-40,9.20186498466605e-40,no_correction
1.0198360662417706e-41,1.0198360662418435e-41,no_correction
2.1688612633890494e-49,2.1688612633890494e-49,no_correction
2.0411586965502035e-42,2.0411586965501156e-42,no_correction
5.026889952487993e-52,5.026889952487348e-52,no_correction
